Tenure,Monthly Charges,Device Protection,Streaming TV,Tech Support,Internet Service,Online Security,Streaming Movies,Online Backup,Payment Method,Churn
45,25.9,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
1,79.35,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
11,50.55,No,Yes,No,DSL,Yes,Yes,No,Electronic check,No
7,75.15,Yes,No,No,Fiber optic,No,No,No,Bank transfer (automatic),Yes
42,103.8,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
49,20.15,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
9,99.3,No,Yes,No,Fiber optic,No,Yes,Yes,Credit card (automatic),No
35,62.15,No,Yes,No,DSL,Yes,No,No,Bank transfer (automatic),No
48,20.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
46,19.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
29,33.75,No,Yes,No,DSL,No,No,No,Mailed check,No
30,82.05,Yes,No,No,Fiber optic,No,No,Yes,Bank transfer (automatic),No
1,74.7,No,No,Yes,Fiber optic,No,No,No,Electronic check,No
66,84.0,Yes,Yes,Yes,DSL,Yes,Yes,No,Mailed check,No
65,111.05,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
72,100.9,Yes,Yes,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
12,78.95,No,No,No,Fiber optic,Yes,No,No,Electronic check,Yes
71,66.85,No,No,Yes,DSL,Yes,No,Yes,Credit card (automatic),No
5,21.05,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,Yes
52,21.0,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
25,98.5,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
1,20.2,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
1,19.45,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
38,95.0,Yes,Yes,Yes,Fiber optic,No,No,No,Bank transfer (automatic),No
66,45.55,Yes,Yes,No,DSL,No,No,Yes,Bank transfer (automatic),No
68,110.0,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Bank transfer (automatic),Yes
5,24.3,No,No,No,DSL,No,No,No,Mailed check,No
72,104.15,No,Yes,No,Fiber optic,Yes,Yes,Yes,Electronic check,No
32,30.15,No,No,No,DSL,Yes,No,No,Mailed check,No
43,94.35,No,Yes,No,Fiber optic,No,Yes,No,Mailed check,No
72,19.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
55,96.75,No,Yes,No,Fiber optic,Yes,No,Yes,Electronic check,Yes
52,57.95,Yes,No,Yes,DSL,Yes,No,No,Credit card (automatic),No
43,91.65,Yes,Yes,No,Fiber optic,No,No,Yes,Electronic check,No
37,76.5,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
64,54.6,No,Yes,Yes,DSL,No,Yes,Yes,Electronic check,No
3,89.85,No,Yes,No,Fiber optic,Yes,No,Yes,Electronic check,No
36,31.05,No,No,No,DSL,Yes,No,No,Bank transfer (automatic),No
10,100.25,No,Yes,No,Fiber optic,Yes,Yes,No,Electronic check,Yes
41,20.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
27,85.2,No,No,Yes,Fiber optic,No,No,Yes,Credit card (automatic),No
56,99.8,Yes,Yes,No,Fiber optic,No,Yes,No,Credit card (automatic),No
6,20.7,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
3,74.4,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
7,50.7,No,No,No,DSL,Yes,No,No,Mailed check,No
4,20.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
33,88.95,No,Yes,Yes,Fiber optic,Yes,No,No,Electronic check,No
27,78.05,Yes,No,No,Fiber optic,No,No,No,Electronic check,Yes
72,23.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,19.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
71,56.45,No,Yes,No,DSL,Yes,Yes,Yes,Electronic check,No
13,85.95,No,No,No,Fiber optic,No,Yes,No,Electronic check,No
25,58.6,Yes,Yes,No,DSL,Yes,Yes,Yes,Credit card (automatic),Yes
67,50.55,No,No,Yes,DSL,No,No,No,Bank transfer (automatic),No
1,35.45,No,No,No,DSL,No,Yes,No,Electronic check,Yes
2,44.35,No,No,No,DSL,No,No,No,Electronic check,Yes
43,25.7,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
23,75.0,No,No,No,Fiber optic,Yes,No,No,Bank transfer (automatic),No
64,20.2,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
57,19.6,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
1,70.45,No,No,No,Fiber optic,No,No,No,Mailed check,Yes
72,88.05,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
8,71.15,No,No,Yes,DSL,Yes,Yes,No,Electronic check,Yes
61,101.05,No,Yes,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
64,84.3,No,No,No,Fiber optic,Yes,No,Yes,Credit card (automatic),No
71,23.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
65,99.05,No,Yes,Yes,Fiber optic,Yes,No,Yes,Credit card (automatic),No
3,19.6,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
1,45.65,No,No,No,DSL,No,No,No,Electronic check,Yes
30,64.5,Yes,Yes,No,DSL,No,No,Yes,Credit card (automatic),No
15,69.5,Yes,No,Yes,DSL,No,Yes,Yes,Mailed check,No
8,68.55,No,Yes,Yes,DSL,No,Yes,No,Electronic check,No
7,95.0,No,Yes,No,Fiber optic,No,Yes,No,Mailed check,Yes
70,108.15,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
62,86.1,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Electronic check,No
6,19.7,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
14,80.9,No,No,No,Fiber optic,No,Yes,No,Bank transfer (automatic),No
22,84.15,No,Yes,No,Fiber optic,No,No,No,Bank transfer (automatic),No
22,20.15,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
16,64.25,Yes,Yes,No,DSL,Yes,No,No,Mailed check,No
10,25.7,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
13,56.0,No,No,No,DSL,Yes,No,Yes,Electronic check,No
20,82.4,No,No,No,Fiber optic,Yes,No,No,Electronic check,Yes
2,69.7,No,No,No,Fiber optic,No,No,No,Electronic check,No
53,73.9,Yes,No,Yes,DSL,No,Yes,Yes,Bank transfer (automatic),No
11,20.6,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
69,19.9,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
4,70.9,No,No,No,Fiber optic,No,No,No,Bank transfer (automatic),Yes
72,89.05,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Bank transfer (automatic),No
58,45.3,Yes,No,No,DSL,No,Yes,Yes,Electronic check,Yes
16,20.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
43,84.25,Yes,No,Yes,Fiber optic,Yes,No,No,Bank transfer (automatic),No
2,104.4,Yes,Yes,Yes,Fiber optic,No,Yes,No,Electronic check,Yes
14,81.95,Yes,Yes,Yes,DSL,No,Yes,Yes,Mailed check,No
53,94.85,Yes,Yes,No,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes
32,20.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
34,24.7,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
15,74.45,No,No,No,Fiber optic,No,No,No,Mailed check,Yes
7,76.45,No,No,No,Fiber optic,Yes,No,No,Bank transfer (automatic),Yes
15,105.35,Yes,Yes,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
61,20.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
1,29.95,No,No,No,DSL,No,No,Yes,Bank transfer (automatic),Yes
1,45.3,No,No,No,DSL,No,No,No,Mailed check,No
8,84.5,No,No,No,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes
33,74.75,Yes,Yes,No,DSL,Yes,Yes,No,Credit card (automatic),No
13,79.25,Yes,No,No,Fiber optic,No,No,Yes,Electronic check,Yes
1,24.8,No,No,No,DSL,No,No,No,Electronic check,Yes
20,51.8,No,No,No,DSL,No,No,Yes,Mailed check,No
3,30.4,No,No,Yes,DSL,No,No,No,Electronic check,No
13,19.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
40,56.6,No,No,No,DSL,No,No,Yes,Credit card (automatic),No
43,71.9,No,No,Yes,DSL,Yes,Yes,No,Credit card (automatic),No
6,91.0,Yes,No,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
69,19.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
72,109.7,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
59,19.3,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
20,96.55,No,Yes,Yes,Fiber optic,Yes,No,Yes,Electronic check,No
24,24.1,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
59,111.35,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,No
72,112.25,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
1,20.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
27,101.9,No,Yes,Yes,Fiber optic,Yes,Yes,No,Credit card (automatic),No
14,80.05,No,No,Yes,Fiber optic,No,No,Yes,Credit card (automatic),No
71,105.55,Yes,Yes,No,Fiber optic,Yes,Yes,No,Electronic check,No
13,78.3,No,Yes,No,Fiber optic,No,No,No,Credit card (automatic),No
44,68.85,No,No,No,Fiber optic,No,No,No,Credit card (automatic),No
33,79.95,No,No,Yes,Fiber optic,No,No,Yes,Bank transfer (automatic),No
72,55.45,Yes,No,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
1,79.9,No,No,No,Fiber optic,No,Yes,No,Electronic check,Yes
19,106.6,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Electronic check,Yes
64,102.45,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Credit card (automatic),No
2,46.0,No,No,No,DSL,No,No,No,Credit card (automatic),Yes
1,25.25,No,No,No,DSL,No,No,No,Electronic check,No
61,19.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
29,20.0,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
23,86.8,No,No,No,Fiber optic,No,Yes,No,Electronic check,No
57,58.75,Yes,Yes,No,DSL,Yes,Yes,Yes,Bank transfer (automatic),No
72,45.25,Yes,No,Yes,DSL,Yes,No,Yes,Credit card (automatic),No
66,56.6,Yes,Yes,Yes,DSL,Yes,No,Yes,Bank transfer (automatic),No
65,84.2,Yes,Yes,Yes,DSL,No,Yes,Yes,Bank transfer (automatic),No
8,80.0,No,Yes,No,Fiber optic,No,No,No,Bank transfer (automatic),No
4,70.15,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
71,24.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,20.2,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
4,50.05,No,No,Yes,DSL,No,No,No,Mailed check,Yes
12,19.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
24,50.6,No,Yes,No,DSL,Yes,Yes,No,Mailed check,No
31,81.15,Yes,Yes,Yes,DSL,Yes,Yes,No,Mailed check,No
1,55.2,No,Yes,No,DSL,No,No,No,Mailed check,Yes
30,89.9,No,No,Yes,Fiber optic,No,Yes,No,Credit card (automatic),No
47,85.3,No,Yes,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
54,108.0,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
50,93.5,No,No,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
1,84.6,No,No,No,Fiber optic,Yes,Yes,No,Mailed check,Yes
72,20.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
29,25.15,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
2,54.4,No,No,No,DSL,No,No,Yes,Mailed check,Yes
10,29.6,No,No,Yes,DSL,No,No,No,Mailed check,No
18,73.15,No,No,No,Fiber optic,No,No,No,Electronic check,No
11,95.0,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
16,19.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
72,86.6,Yes,Yes,Yes,DSL,No,Yes,Yes,Bank transfer (automatic),No
72,109.2,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
41,74.7,No,Yes,Yes,DSL,Yes,Yes,No,Credit card (automatic),No
65,94.4,Yes,No,No,Fiber optic,Yes,Yes,Yes,Electronic check,No
13,54.8,Yes,No,No,DSL,No,No,Yes,Electronic check,No
4,75.35,No,No,No,Fiber optic,Yes,No,No,Electronic check,No
41,65.0,Yes,No,No,DSL,No,Yes,No,Mailed check,No
15,74.4,No,No,No,Fiber optic,No,No,Yes,Electronic check,Yes
1,48.55,No,No,No,DSL,Yes,No,No,Mailed check,Yes
42,99.0,Yes,No,No,Fiber optic,Yes,Yes,Yes,Electronic check,No
51,93.5,Yes,Yes,No,Fiber optic,Yes,No,Yes,Electronic check,No
2,70.4,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
1,40.2,No,Yes,No,DSL,No,No,Yes,Electronic check,Yes
32,83.7,Yes,Yes,Yes,DSL,No,Yes,Yes,Credit card (automatic),No
10,19.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
67,59.55,Yes,Yes,Yes,DSL,No,Yes,Yes,Electronic check,No
61,115.1,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
50,114.35,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
2,44.6,No,No,No,DSL,No,No,No,Credit card (automatic),Yes
29,45.0,Yes,No,No,DSL,Yes,Yes,No,Electronic check,No
3,41.15,Yes,No,No,DSL,No,Yes,No,Electronic check,Yes
13,106.9,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
57,89.85,No,No,No,Fiber optic,No,Yes,Yes,Electronic check,No
31,49.85,No,No,Yes,DSL,Yes,Yes,Yes,Bank transfer (automatic),No
45,113.3,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Mailed check,No
61,88.1,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Mailed check,No
50,24.9,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
19,105.0,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Mailed check,No
59,19.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,Yes
71,24.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
16,94.45,No,Yes,Yes,Fiber optic,No,Yes,No,Electronic check,Yes
57,59.75,No,No,Yes,DSL,Yes,No,Yes,Electronic check,No
1,24.8,No,No,No,DSL,No,No,No,Bank transfer (automatic),Yes
20,107.05,No,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,No
1,70.6,No,No,No,Fiber optic,No,No,No,Mailed check,Yes
5,85.4,No,No,Yes,Fiber optic,No,No,Yes,Electronic check,Yes
52,105.05,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
21,64.95,No,No,No,DSL,Yes,Yes,Yes,Bank transfer (automatic),No
14,55.0,Yes,Yes,Yes,DSL,No,Yes,No,Electronic check,No
5,50.55,No,No,No,DSL,No,No,Yes,Bank transfer (automatic),No
6,55.15,No,No,No,DSL,Yes,No,Yes,Mailed check,No
10,51.2,No,No,No,DSL,No,No,Yes,Electronic check,No
1,25.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
68,54.45,No,No,No,DSL,Yes,No,No,Mailed check,No
18,95.15,Yes,Yes,No,Fiber optic,No,Yes,No,Mailed check,Yes
22,76.0,No,No,No,Fiber optic,No,No,No,Credit card (automatic),No
20,44.35,No,No,No,DSL,No,No,No,Electronic check,No
1,70.0,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
8,74.5,No,No,No,Fiber optic,No,No,Yes,Electronic check,Yes
10,44.85,No,No,No,DSL,No,No,No,Credit card (automatic),Yes
24,76.1,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
35,61.2,Yes,No,No,DSL,Yes,No,Yes,Mailed check,No
23,86.8,Yes,No,Yes,Fiber optic,No,No,Yes,Mailed check,No
6,89.35,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,No
12,19.7,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
1,20.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
71,76.05,Yes,No,No,Fiber optic,No,No,No,Electronic check,No
35,100.8,Yes,Yes,No,Fiber optic,No,Yes,No,Electronic check,No
40,74.55,Yes,Yes,No,DSL,No,Yes,No,Electronic check,No
1,73.6,No,No,No,Fiber optic,Yes,No,No,Mailed check,Yes
23,64.9,No,Yes,No,DSL,No,Yes,No,Bank transfer (automatic),No
4,95.45,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
4,90.4,Yes,No,Yes,Fiber optic,No,Yes,No,Electronic check,No
68,60.3,Yes,Yes,Yes,DSL,No,Yes,Yes,Credit card (automatic),No
38,81.85,No,No,No,Fiber optic,No,No,Yes,Mailed check,No
52,24.8,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
32,74.9,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
29,75.55,Yes,Yes,Yes,DSL,No,Yes,No,Mailed check,No
38,101.15,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,No
48,78.75,Yes,Yes,No,DSL,Yes,Yes,No,Credit card (automatic),No
1,19.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
22,89.05,No,No,Yes,Fiber optic,Yes,Yes,No,Electronic check,No
43,115.05,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
5,69.35,No,No,No,Fiber optic,No,No,No,Electronic check,No
5,80.6,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
51,110.05,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
71,19.9,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
38,80.3,No,Yes,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),Yes
24,93.15,Yes,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
35,91.5,No,Yes,Yes,Fiber optic,No,No,No,Credit card (automatic),No
54,82.45,No,Yes,Yes,DSL,Yes,Yes,Yes,Bank transfer (automatic),Yes
72,60.0,Yes,Yes,Yes,DSL,No,Yes,Yes,Electronic check,No
1,44.8,No,No,No,DSL,No,No,No,Electronic check,No
9,48.6,No,No,No,DSL,Yes,No,No,Mailed check,No
69,60.05,No,Yes,Yes,DSL,Yes,Yes,Yes,Bank transfer (automatic),No
52,102.7,No,Yes,Yes,Fiber optic,No,Yes,Yes,Credit card (automatic),No
11,82.9,No,Yes,Yes,Fiber optic,No,No,No,Electronic check,No
2,70.35,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
28,35.9,No,Yes,No,DSL,No,No,No,Electronic check,No
17,82.65,Yes,No,No,Fiber optic,No,No,No,Credit card (automatic),No
35,19.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
8,19.2,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
46,94.9,Yes,Yes,No,Fiber optic,No,No,Yes,Credit card (automatic),No
7,73.85,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
2,80.6,Yes,No,No,Fiber optic,No,No,No,Mailed check,Yes
68,75.8,Yes,No,Yes,DSL,No,Yes,Yes,Bank transfer (automatic),Yes
43,104.6,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
68,88.15,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Electronic check,No
36,94.8,No,Yes,No,Fiber optic,No,Yes,Yes,Credit card (automatic),No
